"","id","artikel","label"
"74",74,"selain sebagai pemimpin negara yang memberi dampak positif bagi perkembangan dan kemajuan bangsa dan juga pembangunan dunia barrack obama juga menjadi sosok panutan dalam keluarga","Bukan CEO"
"75",75,"x13 kebiasaan orang sukses di malam hari sebelum tidur 09 barack obama finansialku baca juga jangan salah pilih pemimpin ini dia syarat para pemimpin sejati yang jadi pilihan panutan ia disebut sebut sebagai family man yang penuh kasih pada keluarganya","Bukan CEO"
"76",76,"sang istri pun demikian","Bukan CEO"
"77",77,"ia banyak memberikan pengaruh pengaruh positif dalam pergerakan pemimpin wanita di seluruh dunia melalui motivasi tentang kemandirian dan membangun kesadaran wanita akan kemampuan mereka dalam berprestasi","Bukan CEO"
"78",78,"menjadi pemimpin amerika bahwa selama 2 periode memanglah tidak mudah","Bukan CEO"
"79",79,"sebagai pemimpin yang diidolakan barrack obama pernah mengungkapkan caranya menjadi pemimpin yang tetap tenang meski sedang mengalami kesulitan yang pelik","Bukan CEO"
"80",80,"ia senantiasa mengantisipasi hal buruk ketika situasi sedang berjalan baik","Bukan CEO"
"81",81,"dan ketika situasi sedang memburuk ia memiliki keyakinan yang kuat bahwa setiap masalah tentu akan berakhir","Bukan CEO"
"82",82,"if you re walking down the right path and you re willing to keep walking eventually you ll make progress","Bukan CEO"
"83",83,"barack obama jika kamu berjalan di jalan yang benar dan kamu ingin terus berjalan pada akhirnya kamu akan membuat kemajuan","Bukan CEO"
"84",84,"asan pemimpin tak lekang waktu ini mendedikasikan hidupnya untuk kemajuan dan pembebasan rakyatnya dari penjajahan","Bukan CEO"
"85",85,"dialah mohandas gandhi salah satu dari sekian banyak pemimpin berhati mulia yang tidak hanya mampu membebaskan rakyatnya dari kejamnya pemerintah kolonial dengan caranya yang begitu humanis","Bukan CEO"
"86",86,"tetapi juga mengubah paradigma dunia tentang arti kemerdekaan sesungguhnya","Bukan CEO"
"87",87,"gaya kepemimpinan ala mahatma gandhi yang perlu anda tiru 02 finansialku baca juga tanggung jawab dan tugas pemimpin dalam materi kepemimpinan dasar melalui pembebasan rakyat india dari kolonialisasi inggris tanpa melakukan kekerasan mahatma gandhi merupakan pejuang kemerdekaan yang konsisten dengan prinsip hidupnya","Bukan CEO"
"88",88,"prinsip hidupnya yang meninggikan hak manusia untuk merdeka dengan perjuangan yang mengedepankan kelembutan hati melalui proses negosiasi yang damai","Bukan CEO"
"89",89,"perjuangan hak asasi bahkan hingga tingkat dunia membuatnya dilirik oleh mata semua insan hingga kisah kepemimpinannya diangkat dalam sebuah karya film garapan richard attenborough","Bukan CEO"
"90",90,"film ini berhasil menjadi film inspiratif dan mendapat banyak penghargaan dari dari academy awards ke 55 diantaranya best director best picture best actor best writing best art direction dan best cinematography","Bukan CEO"
"91",91,"the best way to find yourself is to lose yourself in the service of others","Bukan CEO"
"92",92,"mahatma gandhi cara terbaik untuk menemukan dirimu sendiri adalah dengan kehilangan dirimu dalam melayani orang lain","Bukan CEO"
"93",93,"kisah kepemimpinan tak lekang usia para pemimpin hebat yang menunjukkan kualitas kepemimpinannya dengan sangat baik akan dikenang sepanjang masa dan namanya tak lekang waktu","Bukan CEO"
"94",94,"itu dia pembahasan dari sekian banyak pemimpin hebat dunia yang telah menorehkan sejarah sebagai orang orang hebat dalam kapasitasnya sebagai pemimpin yang mengakomodir para anggota timnya untuk senantiasa sejalan dengan kepemimpinannya dan berjuang hingga mampu mencapai keberhasilan bersama","Bukan CEO"
"95",95,"hari ini saya ingin mengajak anda sejenak bernostalgia dengan kisah inspiratif yang mungkin beberapa dari anda sudah membaca atau mendengarkannya hingga puluhan kali","Bukan CEO"
"96",96,"ini akan membantu anda menjadi leader yang solutif mampu memanfaatkan peluang","Bukan CEO"
"97",97,"kisah ini adalah tentang seorang raja dan kegemarannya mengoleksi baju baru","Bukan CEO"
"98",98,"koleksi bajunya saat ini sudah sangat banyak memenuhi beberapa lemari","Bukan CEO"
"99",99,"ia gemar membeli baju baru dengan harga yang sangat mahal terutama untuk perayaan besar di kerajaannya","Bukan CEO"
"100",100,"suatu hari raja bingung akan memakai baju apa di hari ulang tahun kerajaan yang akan datang akhirnya raja memanggil perdana menteri dan meminta untuk memesankan baju yang istimewa agar saat perayaan semua mata tertuju pada raja","Bukan CEO"
"101",101,"perdana menteri pun mengadakan sayembara siapapun yang dapat membuatkan raja baju yang indah akan mendapatkan hadiah","Bukan CEO"
"102",102,"setelah itu datang pemuda berani untuk mengambil tantangan sayembara tersebut","Bukan CEO"
"103",103,"mendengar hal tersebut raja pun senang","Bukan CEO"
"104",104,"ia juga berpikir pasti akan sangat indah jika memakai baju yang terbuat dari emas asli","Bukan CEO"
"105",105,"sang raja pun memberikan perintah kepada perdana menteri untuk menyediakan gulungan benang yang terbuat dari emas untuk sang penjahit","Bukan CEO"
"106",106,"ulang tahun kerajaan semakin mendekat","Bukan CEO"
"107",107,"raja sangat tidak sabar ingin melihat baju barunya","Bukan CEO"
"108",108,"akhirnya ia memerintahkan perdana menteri untuk memeriksa baju barunya","Bukan CEO"
"109",109,"perdana menteri pergilah temui penjahit untuk memeriksa baju baruku perintah raja","Bukan CEO"
"110",110,"penjahit tersebut masih ditempat kerjanya","Bukan CEO"
"111",111,"ini bajunya tuan","Bukan CEO"
"112",112,"bagaimana menurut anda tanya sang pemuda","Bukan CEO"
"113",113,"sebagai orang bijaksana anda pasti bisa melihat baju yang indah ini","Bukan CEO"
"114",114,"kata asisten penjahit","Bukan CEO"
"115",115,"namun perdana menteri terlihat kebingungan","Bukan CEO"
"116",116,"ia tidak bisa melihat apapun yang dikatakan baju oleh penjahit","Bukan CEO"
"117",117,"meskipun begitu ia tidak berani bertanya","Bukan CEO"
"118",118,"perdana menteri hanya mengangguk dan kembali ke kerajaan untuk menemui raja","Bukan CEO"
"119",119,"baca juga apa rahasia sukses perusahaan fortune 500 danaher bagaimana baju baruku tanya raja","Bukan CEO"
"120",120,"bajunya sangat indah tuanku raja dapat melihatnya sendiri ke tempat penjahit karena raja adalah orang yang bijaksana","Bukan CEO"
"121",121,"jawab perdana menteri gugup","Bukan CEO"
"122",122,"karena sangat penasaran seperti apa baju barunya raja pun segera menemui penjahit tersebut","Bukan CEO"
"123",123,"mereka berkata hal yang sama seperti yang dikatakan oleh perdana menteri sebelumnya","Bukan CEO"
"124",124,"raja bingung ia tidak dapat melihat apapun","Bukan CEO"
"125",125,"ia meminta pendapat dari perdana menteri yang dibalas dengan anggukan kepala dan ia mengatakan bahwa baju tersebut sangat indah","Bukan CEO"
"126",126,"tuanku apakah engkau bersedia untuk memakai baju baru ini tanya pria penjahit tersebut","Bukan CEO"
"127",127,"rajapun segera melepaskan pakaiannya saat itu dan memakai baju barunya","Bukan CEO"
"128",128,"raja melihat dirinya dalam cermin tetapi ia sama sekali tidak melihat baju barunya","Bukan CEO"
"129",129,"agar tidak dianggap tidak bijaksana oleh orang lain raja pura pura percaya bahwa baju itu berada ditubuhnya","Bukan CEO"
"130",130,"keesokkan harinya di hari ulang tahun kerajaan raja sudah siap dengan baju barunya meskipun tidak terlihat","Bukan CEO"
"131",131,"namun raja sangat senang dan terlihat percaya diri","Bukan CEO"
"132",132,"raja pun bersiap untuk mulai pawai mengelilingi kerajaan","Bukan CEO"
"133",133,"rakyat terkejut dengan penampilan raja kali ini","Bukan CEO"
"134",134,"raja yang biasanya memakai baju baju yang indah dan baru tetapi kini tampil berbeda","Bukan CEO"
"135",135,"namun mereka tidak berani untuk berkata apa apa","Bukan CEO"
"136",136,"dengan rasa bangga raja terus melambaikan tangan ke rakyat","Bukan CEO"
"137",137,"di tengah pawai raja mendengar seorang anak kecil yang bertanya kepada orang tuanya","Bukan CEO"
"138",138,"ibu kenapa raja tidak memakai baju mendengar anak tersebut raja sangat terkejut dan malu ia pun langsung melihat pada tubuhnya","Bukan CEO"
"139",139,"ia pun baru sadar bahwa dirinya memang tidak memakai baju","Bukan CEO"
"140",140,"dari kisah di atas kita dapat melihat bagaimana seorang pemimpin yang lebih mengutamakan image pribadi tidak bisa melihat kebenaran realita sehingga mengabaikan hal hal yang akan berakibat buruk kepada citra dirinya dan juga organisasinya di masa akan datang","Bukan CEO"
"141",141,"ego tersebut menutupi sejumlah realita yang ada di lapangan","Bukan CEO"
"142",142,"akibatnya sejumlah permasalahan yang terjadi diabaikan begitu saja sehingga peluang perbaikan pun tidak bisa dimanfaatkan","Bukan CEO"
"143",143,"dalam lean leadership pemimpin harus mampu menguasai egonya","Bukan CEO"
"144",144,"melihat dan mendengar dengan bijak apa yang sebenarnya terjadi dengan demikian semua permasalahan bisa terlihat dengan jelas sehingga tepat dalam mengambil langkah solusi ke depannya","Bukan CEO"
"145",145,"meskipun teknologi komputer telah ada selama beberapa dekade konsep transformasi digital relatif baru","Bukan CEO"
"146",146,"konsep ini hadir pada 1990 an dengan diperkenalkannya internet mainstream","Bukan CEO"
"147",147,"sejak itu kemampuan untuk mengubah bentuk tradisional media seperti dokumen dan foto menjadi satu dan nol telah memudar di tengah pentingnya hal yang dibawa oleh teknologi digital kepada masyarakat","Bukan CEO"
"148",148,"hari ini digitalisasi menyentuh setiap bagian dari kehidupan kita memengaruhi cara kita bekerja berbelanja bepergian mendidik mengelola dan hidup","Bukan CEO"
"149",149,"praktik transformasi digital biasanya digunakan dalam konteks bisnis","Bukan CEO"
"150",150,"pengenalan teknologi digital telah memicu penciptaan model bisnis baru dan aliran pendapatan","Bukan CEO"
"151",151,"teknologi yang muncul seperti kecerdasan buatan ai cloud computing dan internet of things io t mempercepat transformasi sementara teknologi dasar seperti manajemen data dan analitik diperlukan untuk menganalisis sejumlah besar data yang dihasilkan dari transformasi digital","Bukan CEO"
"152",152,"transformasi digital bukan hanya tentang teknologi","Bukan CEO"
"153",153,"itu terjadi di persimpangan orang bisnis dan teknologi dan dipandu oleh strategi bisnis yang lebih luas","Bukan CEO"
"154",154,"sukses hadir ketika organisasi dapat secara efektif menggunakan data yang dibuat oleh atau melalui teknologi dengan cara yang memungkinkan perubahan bisnis terjadi secara dinamis","Bukan CEO"
"155",155,"sejak pandemi covid 19 melanda indonesia pada maret 2020 banyak hal yang telah berubah salah satunya stereotip di dunia bisnis","Bukan CEO"
"156",156,"dari sisi sumber daya manusia sdm para karyawan yang dulu terbiasa bekerja dari kantor kini bekerja secara remote dari rumah masing masing","Bukan CEO"
"157",157,"bahkan mungkin ada karyawan yang terpaksa memasang layanan internet di rumah","Bukan CEO"
"158",158,"pasalnya kafe kafe dengan wi fi gratis yang biasa menjadi tempat kerja secara jarak jauh tak melayani makan di tempat","Bukan CEO"
"159",159,"sementara itu perusahaan harus memutar otak agar mampu menjalankan bisnis di tengah wabah","Bukan CEO"
"160",160,"salah satu jalan paling memungkinkan adalah memanfaatkan teknologi digital","Bukan CEO"
"161",161,"sebuah studi independen yang dilakukan workday penyedia peranti lunak untuk manajemen keuangan dan sdm menggambarkan kondisi itu","Bukan CEO"
"162",162,"lewat riset berjudul workday digital agility index workday meneliti ketangkasan digital perusahaan perusahaan dari sembilan negara termasuk di indonesia selama masa pandemi","Bukan CEO"
"163",163,"hasil penelitian itu menunjukkan dari sekitar 900 pemimpin bisnis yang disurvei sebanyak 93 persen perusahaan menjadikan transformasi digital sebagai salah satu prioritas usaha","Bukan CEO"
"164",164,"kemudian sebanyak 85 persen di antaranya memanfaatkan teknologi digital agar dapat menjalankan rencana bisnis selama pandemi covid 19","Bukan CEO"
"165",165,"meski demikian empat dari lima atau sekitar 80 persen perusahaan mengalami kesulitan dalam mengubah rencana keuangan tahun 2020","Bukan CEO"
"166",166,"selain itu sekitar 69 persen perusahaan juga mengaku kerepotan dalam menyesuaikan kembali struktur organisasi mereka","Bukan CEO"
"167",167,"deputy head of doctor of computer science dcs bina nusantara binus university dr ford lumban gaol mengatakan bahwa permasalahan utama yang dihadapi perusahaan perusahaan itu adalah data","Bukan CEO"
"168",168,"menurutnya selama ini masih banyak perusahaan membiarkan data mereka tersimpan di atas kertas saja","Bukan CEO"
"169",169,"tak hanya itu data perusahaan pun tersebar di banyak tempat sehingga pengambilan keputusan menjadi lambat tidak efektif dan kurang presisi","Bukan CEO"
"170",170,"bahkan kerap kali salah alamat","Bukan CEO"
"171",171,"setiap transaksi itu kan menghasilkan data","Bukan CEO"
"172",172,"nah data itu harus dipindahkan ke digital sehingga tidak lagi eksklusif","Bukan CEO"
"173",173,"semua divisi dalam perusahaan terkait harus tahu","Bukan CEO"
"174",174,"data harus lintas sektoral ucap ford dalam keterangan tertulis yang diterima kompas","Bukan CEO"
"175",175,"com senin 21 9 2020","Bukan CEO"
"176",176,"lebih lanjut ford mencontohkan binus sebagai sebuah perusahaan memiliki bisnis utama pendidikan","Bukan CEO"
"177",177,"untuk memperlancar bisnis binus memiliki divisi pendukung yaitu marketing keuangan human resource development hrd dan sebagainya","Bukan CEO"
"178",178,"misal ada pertanyaan mahasiswa baru binus paling banyak masuk di maret atau september itu yang tahu orang marketing","Bukan CEO"
"179",179,"kalau ada pertanyaan lanjutan boleh tahu berapa revenue nya yang tahu orang keuangan","Bukan CEO"
"180",180,"kalau pertanyaan rata rata ipk paling tinggi di semester berapa orang akademik yang tahu papar ford","Bukan CEO"
"181",181,"data yang menyebar tersebut kata dia membuat perusahaan bergerak lambat","Bukan CEO"
"182",182,"padahal perusahaan harus bersaing dengan industri lain","Bukan CEO"
"183",183,"mau enggak mau perusahaan membutuhkan dasar dalam mengambil keputusan tertentu","Bukan CEO"
"184",184,"makanya perusahaan melakukan transformasi digital ucap ford","Bukan CEO"
"185",185,"transformasi digital bukanlah istilah yang asing saat ini terutama bagi anda yang sudah cukup lama berselancar di dunia teknologi","Bukan CEO"
"186",186,"transformasi digital sendiri berarti adanya perubahan yang lebih besar dan lebih baik lagi terkait teknologi yang ada saat ini","Bukan CEO"
"187",187,"dalam praktiknya istilah ini biasa digunakan dalam konteks bisnis","Bukan CEO"
"188",188,"hadirnya transformasi digital yang memengaruhi teknologi ini memicu terciptanya model bisnis yang baru","Bukan CEO"
