"","id","kalimat","label"
"111",111,"pertentangan ideologi kiri dan kanan liberal dan konservatif terus mewarnai sejarah manusia","CEO"
"112",112,"sebagaimana kesinambungan organisasi yang bergantung kepada kemampuan menyeimbangkan polaritas tersebut mungkin kemampuan ambidexterity ini juga bisa menjadi solusi dalam ruang publik","CEO"
"113",113,"bung karno mencoba mengelola polaritas yang ada berbagai kabinet setelah era reformasi pun mencoba mengelola polaritas yang terjadi","CEO"
"114",114,"ada berbagai tipe organizational ambidexterity tapi salah satu tipe yang sulit untuk dicapai adalah harmonic ambidexterity di mana ambidexterity terjadi secara simultan pada setiap waktu dan di seluruh unit dari suatu organisasi","CEO"
"115",115,"kemampuan ini menuntut personal ambidexterity terutama di level pemimpinnya di berbagai unit yang mampu secara simultan mengelola keseimbangan tersebut dalam pikirannya","CEO"
"116",116,"kemampuan ambidexterity ini bisa ditingkatkan dengan melatih kemampuan dan kecepatan belajar","CEO"
"117",117,"belajar berbagai hal baru membuka cakrawala berpikir dan menjauhkan kita jatuh di salah satu ekstrem tanpa bisa memahami ekstrem lain","CEO"
"118",118,"kemampuan ini juga bisa ditingkatkan dengan belajar mendengarkan dari berbagai pihak yang berbeda","CEO"
"119",119,"belajar menjadi seorang pemimpin yang baik bisa dimulai dengan belajar mendengarkan suara suara yang terabaikan suara kelompok yang termarjinalkan","CEO"
"120",120,"seorang pemimpin biasanya lebih cenderung akan mendengarkan suara suara di lingkaran terdekatnya","CEO"
"121",121,"oleh karena itu untuk melatih kemampuan ambidexterity seorang pemimpin bisa menyeimbangkan dengan mendengar suara suara sayup di kejauhan","CEO"
"122",122,"kalau mau belajar mengelola kesenjangan generasi belajarlah mendengar suara dari generasi yang berbeda dengan generasi kita","CEO"
"123",123,"kalau mau mengelola kesenjangan gender belajarlah mendengar suara dari berbagai gender yang berbeda","CEO"
"124",124,"kesempatan tatap muka tentu hanya akan memberikan pengenalan yang sangat terbatas","CEO"
"125",125,"apalagi dengan adanya pandemi ini kesempatan tersebut menjadi makin langka","CEO"
"126",126,"teknologi sosial seperti media sosial menjadi alat yang sangat bermanfaat untuk mendengar suara suara sayup dari pinggiran","CEO"
"127",127,"saya sangat bersyukur dengan hadirnya berbagai media sosial saya belajar mengenal dan memahami suara suara sayup tersebut","CEO"
"128",128,"masih ada pekerjaan rumah yang belum saya mulai punya akun tik tok","CEO"
"129",129,"saya bukan orang yang bisa berjoget ria tapi setidaknya saya bisa ikut merasakan kegembiraan dan cara berekspresi generasi tik tok","CEO"
"130",130,"pandemi covid 19 yang sedang berlangsung juga mengajarkan kita untuk lebih ambidextrous","CEO"
"131",131,"kita disadarkan untuk menyadari seberapa ekstrem sistem dan kehidupan kita telah melangkah","CEO"
"132",132,"kita disadarkan seberapa jauh kapitalisme dan konsumerisme yang ekstrem telah merampas berbagai karunia lain di dalam kehidupan kita lingkungan hidup yang indah dan berkelanjutan persahabatan sesama anak manusia ketika dihadapkan pada tantangan yang sama si virus covid 19","CEO"
"133",133,"kita diajak untuk kembali ke tengah karena kebanyakan hal yang berlebihan itu tidak baik","CEO"
"134",134,"sebagai orang yang extrovert salah satu anugerah yang saya sadari dari pandemi ini adalah kesempatan untuk berdamai dengan keheningan","CEO"
"135",135,"di balik keheningan suara suara sayup tersebut bermunculan dengan merdu","CEO"
"136",136,"bukan hanya suara suara burung berkicau di tengah keheningan jakarta tapi juga suara sayup sayup dari pinggiran suara sahabat sahabat lama yang sudah terpencar dan tentunya suara pencerahan dari berbagai bacaan","CEO"
"137",137,"kita disadarkan bahwa kebahagiaan tidak melulu seperti yang diteriakkan para motivator terkenal tapi di sudut lain ada kebahagiaan lain yang menanti","CEO"
"138",138,"memang paradoks kebahagiaan paling besar kadang kita sadari ketika tragedi mendekat","CEO"
"139",139,"saya ingat betapa hati saya diliputi kegembiraan dan rasa syukur yang tak terucapkan ketika pertama kali bangun dari meja operasi","CEO"
"140",140,"rasa syukur dan bahagia yang sama itu saya rasakan berlanjut setiap bangun pagi","CEO"
"141",141,"lima tahun yang lalu 13 juni 2015 pas di saat peringatan pesta st","CEO"
"142",142,"antonius padua saya kebetulan lewat kota padua","CEO"
"143",143,"saya sempatkan untuk berkunjung ke basilika st","CEO"
"144",144,"antonius padua tempat orang kudus ini dimakamkan seorang pengkotbah ulung yang secara ajaib ketika jenazahnya akan dipindahkan 32 tahun setelah kematiannya ternyata menyisakan bukan hanya tulang tapi lidah yang masih utuh yang sekarang berada di basilika tersebut","CEO"
"145",145,"bergabung sebagai imam di ordo fransiskan yang didirikan st","CEO"
"146",146,"fransiskus asisi perhatiannya terhadap orang miskin dan orang orang yang terpinggirkan menginspirasi banyak gerakan solidaritas hingga saat ini termasuk st","CEO"
"147",147,"anthony s bread kotak hitam berisi donasi untuk orang miskin","CEO"
"148",148,"suara dari padua juga adalah salah satu suara sayup sayup dari sudut lain untuk belajar lebih ambidextrous","CEO"
"149",149,"semoga di kesempatan lain saya bisa bercerita tentang bagaimana berbagai pihak pengambil keputusan bisa menggunakan konsep ambidexterity ini dalam mengelola pandemi ini ataupun mengelola organisasinya di tengah situasi pandemi ini","CEO"
"150",150,"kalau tertarik silakan tinggalkan pesan di bagian komentar","CEO"
"151",151,"tag ambidexterity antonius padua balance leadership management dear pak mardi saya sangat mengagumi bapak","CEO"
"152",152,"dari tulisan cerita study bapak di amerika dan bergelar doctor membuat saya terpacu suatu saat ingin menampaki seperti bapak","CEO"
"153",153,"gaya bahasa tulisannya sangat mudah dipahami dan diterapkan","CEO"
"154",154,"mungkin jika bapak berkenan suatu saat saya akan berikan ebook saya untuk pengkoreksian kata dan bersedia merevisi bagian kata yang kurang pas","CEO"
"155",155,"semoga bapak membaca komentar saya","CEO"
"156",156,"salam inspirasi afonasis suka suka isikan data di bawah atau klik salah satu ikon untuk log in you are commenting using your word press","CEO"
"157",157,"com account 3","CEO"
"158",158,"logout ubah you are commenting using your google account 2","CEO"
"159",159,"x logout ubah you are commenting using your twitter account","CEO"
"160",160,"logout ubah you are commenting using your facebook account 3","CEO"
"161",161,"logout ubah connecting to percent s beri tahu saya komentar baru melalui email 2","CEO"
"162",162,"beritahu saya pos pos baru lewat surat elektronik 3","CEO"
"163",163,"c saya meminjam judul ini dari kata kata di dalam buku yang dikarang salah satu dosen filsafat saya di stf driyarkara romo thomas hidya tjaya sj yang berjudul kierkegaard dan pergulatan menjadi diri sendiri","CEO"
"164",164,"bagi saya yang dari dulu mengangumi pemikiran kierkegaard membaca buku ini seolah diajak berdiskusi seru dengan kawan lama","CEO"
"165",165,"mengapa kierkegaard dari tokoh filsafat ini saya belajar salah satu kemampuan paling penting dalam hidup dan juga dalam memimpin kemampuan memilih termasuk dan mungkin paling sering ketika harus memilih ketika informasi yang tersedia sangat terbatas","CEO"
"166",166,"memilih adalah salah satu pergumulan batin yang paling berat dan menyiksa karena seringnya memilih satu hal berarti mengorbankan hal lainnya","CEO"
"167",167,"namun kita tetap harus memilih supaya bisa menjadi manusia yang otentik","CEO"
"168",168,"sepanjang hidup saya saya tidak pernah berhenti dihadapkan dengan berbagai pilihan sulit sama seperti kebanyakan orang dan saya terus belajar untuk memilih mulai dari memilih bagaimana saya menjalani hidup saya sampai memilih berbagai alternatif keputusan pada saat memimpin organisasi","CEO"
"169",169,"tepat 31 mei 33 tahun yang lalu saya memilih menjawab suara yang terus bergema sejak satu pagi ketika saya menginjakkan kaki di gereja tua di kampung halaman saya dengan menerima baptisan dalam gereja katolik","CEO"
"170",170,"satu pilihan yang sulit buat seorang remaja karena dengan pilihan itu saya harus menentang kehendak orang tua saya","CEO"
"171",171,"saat itu sekedar untuk ke gereja pun saya harus diam diam kadang dengan menyembunyikan sepeda saya di kolong gereja","CEO"
"172",172,"berjalan dengan waktu akhirnya mereka bisa menerima dan sekarang bahkan sesekali ikut ke gereja","CEO"
"173",173,"saya memilih untuk mengikuti suara itu yang telah terlebih dahulu memilih dan memanggil saya untuk melangkah ke situ","CEO"
"174",174,"saat saya membaca buku paulo coelho the alchemist saya baru sadar saya sering memilih dengan menanggapi tanda tanda yang berserakan sepanjang hidup saya","CEO"
"175",175,"saya baru sadar tanda tanda itu bisa hadir dengan ajaib dalam berbagai bentuk","CEO"
"176",176,"saya lahir di tanggal yang secara dirayakan sebagai hari nutrisi dan dibaptis di tanggal yang dirayakan sebagai hari tanpa tembakau sedunia","CEO"
"177",177,"apakah itu satu kebetulan bahwa kemudian saya menapaki hidup saya dalam perusahaan yang berjuang untuk menginspirasi hidup sehat dan sebagai intermezzo kalau diteruskan dengan ilmu cocoklogi angka angka di kedua tanggal tersebut hanya berbeda satu angka","CEO"
"178",178,"dan lebih uniknya orang orang dekat dalam hidup saya lahir di tanggal tanggal yang disusun ulang dari angka angka tersebut","CEO"
"179",179,"tuhan memang maha ajaib","CEO"
"180",180,"di perjalanan berikutnya keputusan besar lain yang saya buat dalam hidup ini adalah bergabung di rumah kedua yang ingin menginspirasi hidup yang lebih sehat genap 25 tahun di jumat mendatang","CEO"
"181",181,"bagaimana saya memilih di antara berbagai pilihan lain bagaimana saya memilih bertahan di antara sekian ajakan lain memilih dalam keheningan dan doa adalah cara memilih yang terbaik","CEO"
"182",182,"jawaban seringnya tidak muncul begitu saja dengan nyaring tapi lebih seringnya dituntun oleh serangkaian prinsip dan tujuan yang lebih besar","CEO"
"183",183,"dengan tuntunan itu saya menimbang nimbang dan memilih kemudian saya mantapkan dengan apakah saya menemukan rasa damai di dalam pilihan itu","CEO"
"184",184,"ketika memilih pekerjaan saya memilih berdasarkan apa yang mau saya capai dalam hidup ini apakah pilihan saya mendukung misi hidup dan panggilan saya apakah pilihan saya membantu saya untuk bisa memberikan diri yang terbaik","CEO"
"185",185,"ketika memilih menerima satu jabatan saya harus memilih untuk merelakan berbagai hal yang mungkin harus dikorbankan sebagian dari privasi saya sebagian sikap pemberontakan saya terhadap kemapanan dan mungkin kesulitan menemukan pertemanan yang tulus kehilangan kesempatan untuk menemukan teman yang bisa berteman tanpa melihat embel embel yang melekat","CEO"
"186",186,"masih banyak pilihan yang saya buat dalam hidup yang terkadang sulit dimngerti orang lain","CEO"
"187",187,"saya bersyukur dikaruniai orang tua yang bersabar untuk memahami dan mengerti pilihan anaknya mulai dari pilihan sekolah pilihan bekerja pilihan agama dan tentu pilihan dara menjalani jalan hidup","CEO"
"188",188,"namun saya tidak berhenti untuk terus memilih dan membuat keputusan","CEO"
"189",189,"bukan hanya memilih untuk diri sendiri tapi yang tidak kalah dilematisnya adalah memilih dan mengambil keputusan sebagai pemimpin dalam satu organisasi","CEO"
"190",190,"memilih calon karyawan baru memilih karyawan yang akan dipromosikan memilih paket kompensasi yang adil memilih penyelesaian terbaik untuk karyawan yang melakukan pelanggaran serius termasuk tindak kriminal memilih produk baru yang akan diluncurkan dan produk yang terpaksa dihentikan memilih cara pemasaran terbaik menentukan pilihan bila diminta untuk menjuri suatu kompetisi dan seterusnya","CEO"
"191",191,"pilihan pilihan tersebut seringnya tidak pernah mudah menyita pemikiran berhari hari kadang sampai terbawa tidur","CEO"
"192",192,"seringnya pilihan yang tersedia tidak akan menyenangkan semua pihak","CEO"
"193",193,"pada titik ini sebagian pemimpin kadang menjadi lumpuh dengan tidak memilih dan tidak bertindak atau memilih tapi tidak mampu mengkomunikasikan pilihannya dengan baik sehingga menimbulkan kebingungan","CEO"
"194",194,"saya bisa memahami bagaimana sulitnya seorang pemimpin publik bisa mengambil keputusan di tengah sikap publik yang terbelah dan tidak terbuka pikirannya untuk memahami bahwa kebenaran yang dipercayainya bukanlah kebenaran yang mutlak","CEO"
"195",195,"saya bisa membayangkan betapa sulitnya pemimpin pemimpin negara yang harus mengambil keputusan karantina di saat pandemi di tengah tekanan berbagai pihak yang bersikeras dengan pandangannya sendiri","CEO"
"196",196,"i choose therefore i exist","CEO"
"197",197,"ini berlaku juga untuk seorang pemimpin","CEO"
"198",198,"apakah saya pernah salah dengan pilihan saya kadang kadang","CEO"
"199",199,"dari kesalahan saya terus belajar untuk memilih dengan lebih baik","CEO"
"200",200,"tapi tidak semua kesalahan bisa dihindari karena pada saat memilih tidak semua informasi terang benderang","CEO"
"201",201,"seringnya kebenaran atau ketepatan satu pilihan baru terungkap seiring berjalannya waktu","CEO"
"202",202,"oleh karena itu penting untuk mempunyai buffer dalam setiap pengambilan keputusan","CEO"
"203",203,"untuk hal ini bisa baca tulisan saya sebelumnya di blog tentang portofolio i c b","CEO"
"204",204,"menyadari kemunkginan kesalahan tersebut mengajarkan saya untuk lebih sabar dan leibh pemaaf terhadap pilihan orang lain","CEO"
"205",205,"berkali kali saya menemani karyawan yang harus bergumul mengambil keputusan untuk pindah ke perusahaan lain","CEO"
"206",206,"seberat apa pilihannya seberat saya harus menyodorkan tisu yang ada di meja saya","CEO"
"207",207,"kadang mereka membuat pilihan yang tidak tepat","CEO"
"208",208,"kadang beberapa bulan kemudian saya menerima mereka kembali seperti perumpamaan anak yang hilang","CEO"
"209",209,"tapi tidak jarang juga mereka bahagia dan terus berkarya dengan pilihan barunya","CEO"
"210",210,"tag number choice decision making leadership philosophy isikan data di bawah atau klik salah satu ikon untuk log in you are commenting using your word press","CEO"
"211",211,"com account 4","CEO"
"212",212,"logout ubah you are commenting using your google account 3","CEO"
"213",213,"logout ubah you are commenting using your twitter account 3","CEO"
"214",214,"x logout ubah you are commenting using your facebook account","CEO"
"215",215,"logout ubah connecting to percent s beri tahu saya komentar baru melalui email 3","CEO"
"216",216,"beritahu saya pos pos baru lewat surat elektronik 4","CEO"
"217",217,"c bisakah satu kerumunan berjalan dengan baik tanpa pemimpin bisakah satu komunitas atau masyarakat bertumbuh maju tanpa peran aktif pemimpin bisakah masyarakat secara mandiri meminimumkan penyebaran covid 19 tanpa menggantungkan diri pada pemimpin formal banyak yang mendewakan peran pemimpin dalam mengatasi berbagai masalah organisasi atau komunitas atau masyarakat","CEO"
"218",218,"namun benarkah satu satunya cara adalah dengan mengandalkan pemimpin yang efektif alam memberikan jawaban alternatif yang menarik","CEO"
"219",219,"sudah lama saya ingin menulis hal ini","CEO"
"220",220,"kebetulan minggu ini saya membaca ulang satu buku lama dari teman buku karangan hokky situngkir yang berjudul kode kode nusantara","CEO"
"221",221,"ini adalah buku lintas disiplin ilmu yang luar biasa","CEO"
"222",222,"buku yang dengan asyik bisa bercerita tentang budaya nusantara dengan pendekatan ilmu matematika biologi fisika dan filsafat","CEO"
