"nama";"bahan"
"239";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"saus:"
"240";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"¾ cup selai kacang"
"241";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 sdt kecap asin"
"242";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 cabai merah besar (iris tipis)"
"243";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"3 sdt pasta bawang putih"
"244";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 sdm gula aren"
"245";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 sdm air jeruk nipis"
"246";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"sedikit garam"
"247";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"½ cup air"
"248";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"hiasan:"
"249";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"2 sdm kacang panggang (utuh)"
"250";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 tangkai daun bawang (dicincang)"
"251";"Gado - Gado Quinoa bergizi dan memiliki rasa yang enak";"1 cabai merah (iris)"
"252";"Ikan Kerisi Asam Jawa";"2 ekor ikan kakap fillet (masing masing 400 g) kering dan dibersihkan - ikan kakap dapat diganti dengan ikan kerapu atau ikan kuning"
"253";"Ikan Kerisi Asam Jawa";"10 siung bawang merah (dibelah dua)"
"254";"Ikan Kerisi Asam Jawa";"9 buah cabai merah besar (iris- iris)"
"255";"Ikan Kerisi Asam Jawa";"1 sdm pasta asam"
"256";"Ikan Kerisi Asam Jawa";"1 sdm bubuk kunyit"
"257";"Ikan Kerisi Asam Jawa";"400 ml santan"
"258";"Ikan Kerisi Asam Jawa";"5 g jahe (dicincang kasar)"
"259";"Ikan Kerisi Asam Jawa";"3 buah cabai rawit (Thai pepper / cabai Thai)"
"260";"Ikan Kerisi Asam Jawa";"20 g daun laksa atau daun kesum"
"261";"Ikan Kerisi Asam Jawa";"1 buah tangkai serai (hancurkan)"
"262";"Ikan Kerisi Asam Jawa";"garam"
"263";"Ikan Kerisi Asam Jawa";"lada hitam"
"264";"Ikan Kerisi Asam Jawa";"air"
"265";"Ikan Kerisi Asam Jawa";"minyak sayur"
"266";"Ikan Kerisi Asam Jawa";"450 g ikan kakap merah kecil"
"267";"Ikan Kerisi Asam Jawa";"300 g nanas (potong dadu)"
"268";"Ikan Kerisi Asam Jawa";"2 buah cabai merah besar"
"269";"Ikan Kerisi Asam Jawa";"2 siung bawang putih"
"270";"Ikan Kerisi Asam Jawa";"30 g kunyit segar"
"271";"Ikan Kerisi Asam Jawa";"6 siung bawang merah"
"272";"Ikan Kerisi Asam Jawa";"50 g biji asam (direndam dalam 100 ml air panas dan buang bijinya)"
"273";"Ikan Kerisi Asam Jawa";"10 g belacan ( seperti terasi )"
"274";"Ikan Kerisi Asam Jawa";"2 pcs asam keping"
"275";"Ikan Kerisi Asam Jawa";"1 sdt ikan bilis"
"276";"Ikan Kerisi Asam Jawa";"400 ml air"
"277";"Indomie Goreng";"2 bungkus indomie"
"278";"Indomie Goreng";"1 butir telur (opsional /telur mata sapi)"
"279";"Indomie Goreng";"3 cabai merah"
"280";"Indomie Goreng";"5 g bawang merah goreng"
"281";"Indomie Goreng";"5 g siung bawang putih"
"282";"Indomie Goreng";"5 g bawang merah (irisan)"
"283";"Indomie Goreng";"5 g cabe rawit merah"
"284";"Indomie Goreng";"25 g tomat"
"285";"Indomie Goreng";"25 g mentimun"
"286";"Indomie Goreng";"saus kedelai manis"
"287";"Indomie Goreng";"10 g saus sambal"
"288";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"5 butir telur"
"289";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"100 g ketan putih (Direndam semalaman, air secukupnya)"
"290";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"1 cabai merah (potong dadu halus)"
"291";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"1 siung bawang merah (dicincang)"
"292";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"¼ cangkir kelapa parut"
"293";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"2 sdm ebi (udang kering kecil)"
"294";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"1 sdm gula aren"
"295";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"5 daun ketumbar"
"296";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"1 sdt krim asam"
"297";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"minyak sayur"
"298";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"garam"
"299";"Kerak Telor (Omelet Nasi Pedas dengan Parutan Kelapa)";"lada"
"300";"Lontong";"250 g lobak (meng kuang) kupas dan potong menjadi 5 cm"
"301";"Lontong";"400 g kubis bundar Tiongkok (Potong potongan seukuran gigitan)"
"302";"Lontong";"100 g Kacang panjang  (potong secara diagonal menjadi panjang 5 cm)"
"303";"Lontong";"2 daun salam (daun salam)"
"304";"Lontong";"4 siung bawang putih"
"305";"Lontong";"4 bawang merah"
"306";"Lontong";"1½ tangkai serai (diiris)"
"307";"Lontong";"½ irisan lengkuas"
"308";"Lontong";"150 g ikan bilis (direndam selama 5 menit)"
"309";"Lontong";"80 g wortel (dikupas dan diiris)"
"310";"Lontong";"1 sdm ketumbar tanah"
"311";"Lontong";"½ sdm bubuk kari ikan"
"312";"Lontong";"500 ml santan"
"313";"Lontong";"2 sdm minyak sambal"
"314";"Lontong";"3 pcs tau kwa (Dibelah dua menjadi segitiga dan digoreng)"
"315";"Lontong";"3 lontong instan (kue beras) (rebus dan potong dadu)"
"316";"Lontong";"6 telur rebus (dibelah dua)"
"317";"Lontong";"60 g serundeng (kelapa parut goreng)"
"318";"Lontong";"500 ml air"
"319";"Lontong";"minyak untuk memasak"
"320";"Lontong";"gula aren (sesuai selera)"
"321";"Lontong";"garam (sesuai selera)"
"322";"Lontong";"sambal cabai (sesuai selera - untuk topping)"
"323";"Nasi Goreng Kambing";"100 g daging kambing (cincang)"
"324";"Nasi Goreng Kambing";"2 gelas nasi matang"
"325";"Nasi Goreng Kambing";"1 buah mentimun (iris - iris)"
"326";"Nasi Goreng Kambing";"½ buah wortel"
"327";"Nasi Goreng Kambing";"7 siung bawang merah (iris - iris)"
"328";"Nasi Goreng Kambing";"2 siung bawang putih (cincang)"
"329";"Nasi Goreng Kambing";"1 cm jahe (cincang)"
"330";"Nasi Goreng Kambing";"3 buah cabai merah besar (iris - iris)"
"331";"Nasi Goreng Kambing";"1 buah cabai rawit (iris - iris)"
"332";"Nasi Goreng Kambing";"1 sdt ghee (mentega bersertifikasi organik)Dapat digantikan dengan minyak sayur"
"333";"Nasi Goreng Kambing";"8 lembar daun kari"
"334";"Nasi Goreng Kambing";"2 lembar daun jeruk nipis"
"335";"Nasi Goreng Kambing";"3 pcs daun ketumbar"
"336";"Nasi Goreng Kambing";"½ sdt jinten bubuk"
"337";"Nasi Goreng Kambing";"1 sdt bubuk kayu manis"
"338";"Nasi Goreng Kambing";"1 sdt bubuk kunyit"
"339";"Nasi Goreng Kambing";"150 ml cuka putih"
"340";"Nasi Goreng Kambing";"30 g gula"
"341";"Nasi Goreng Kambing";"1 buah tomat merah (potong - potong)"
"342";"Nasi Goreng Kambing";"2 buah kerupuk melinjo goreng (emping) (dapat digantikan dengan papadum- kripik khas India)"
"343";"Nasi Goreng Kambing";"1 telur ceplok goreng/ telur mata sapi (pilihan)"
"344";"Nasi Goreng Kambing";"garam"
"345";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"Nasi Uduk :"
"346";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"800 ml air"
"347";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"500 g beras wangi"
"348";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"100 ml santan"
"349";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"3 cabai merah besar (potong tipis)"
"350";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"2 buah batang serai"
"351";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"5 siung bawang merah"
"352";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"3 siung bawang putih"
"353";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"2 daun salam kering"
"354";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"25 g jahe"
"355";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"10 g garam"
"356";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"Bumbu opor ayam :"
"357";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"5 siung bawang merah"
"358";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"3 siung bawang putih"
"359";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"5 g biji ketumbar"
"360";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"15 g kemiri"
"361";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"2 daun salam kering"
"362";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"2 batang serai"
"363";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"20 g lengkuas"
"364";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"100 ml minyak"
"365";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"500 g ayam utuh"
"366";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"500 ml air"
"367";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"10 g garam"
"368";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"100 ml santan"
"369";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"labu siam / tumis labu / sambal labu:"
"370";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"1 labu siam / jipang"
"371";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"5 siung bawang merah"
"372";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"3 siung bawang putih"
"373";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"10 g kemiri"
"374";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"20 g cabe merah besar"
"375";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"5 g pasta udang"
"376";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"10 g jahe"
"377";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"10 g garam"
"378";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"15 g gula"
"379";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"200 ml air"
"380";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"50 ml minyak"
"381";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"2 daun salam"
"382";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"1 tangkai serai"
"383";"Nasi Liwet (Nasi Uduk Bumbu Indonesia)";"5 g biji ketumbar"
"384";"Satu Pot Opor Paha Ayam Panggang";"6 - 8 paha ayam - Jika kamu lebih suka daging putih, kamu bisa menggunakan kulit dada ayam di piring, tetapi perhatikan hidangan di oven, karena akan lebih cepat matang."
"385";"Satu Pot Opor Paha Ayam Panggang";"300 ml santan - Jika kamu ingin hidangan yang kurang krim dan memanjakan, kamu juga dapat mengganti santan dengan kaldu ayam. Ini akan menjadi versi yang lebih ringan, tetapi masih dengan banyak rasa."
"386";"Satu Pot Opor Paha Ayam Panggang";"1 tangkai serai"
"387";"Satu Pot Opor Paha Ayam Panggang";"(Memarkan dan potong menjadi beberapa bagian)"
"388";"Satu Pot Opor Paha Ayam Panggang";"4 daun salam"
"389";"Satu Pot Opor Paha Ayam Panggang";"3 daun jeruk purut"
"390";"Satu Pot Opor Paha Ayam Panggang";"5 bawang merah (dikupas dan diiris)"
"391";"Satu Pot Opor Paha Ayam Panggang";"3 siung bawang putih (dikupas dan diiris)"
"392";"Satu Pot Opor Paha Ayam Panggang";"1 lengkuas 5 cm (dikupas dan diiris)"
"393";"Satu Pot Opor Paha Ayam Panggang";"1 sdt bubuk lima rempah cina"
"394";"Satu Pot Opor Paha Ayam Panggang";"1 sdt ketumbar"
"395";"Satu Pot Opor Paha Ayam Panggang";"2 sdt kunyit tanah"
"396";"Satu Pot Opor Paha Ayam Panggang";"1 sdt gula pasir"
"397";"Satu Pot Opor Paha Ayam Panggang";"2 sdm minyak sayur"
"398";"Satu Pot Opor Paha Ayam Panggang";"garam dan lada putih (sesuai selera)"
"399";"Satu Pot Opor Paha Ayam Panggang";"ketumbar segar (untuk hiasan)"
"400";"Onde Onde (Klepon)";"200 g kelapa parut segar (gantikan dengan kelapa kering)"
"401";"Onde Onde (Klepon)";"¼ sdt garam"
"402";"Onde Onde (Klepon)";"1 daun pandan (potong menjadi 4 bagian)"
